2017-10-14 02:33:42.466559: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX
WARNING:tensorflow:From train.py:165: get_or_create_global_step (from tensorflow.contrib.framework.python.ops.variables) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.get_or_create_global_step
INFO:tensorflow:Training from step: 1 
INFO:tensorflow:Step #233: rate 0.001000, accuracy 29.0%, cross entropy 2.225913
INFO:tensorflow:Step #234: rate 0.001000, accuracy 20.0%, cross entropy 2.330176
INFO:tensorflow:Step #235: rate 0.001000, accuracy 16.0%, cross entropy 2.377898
INFO:tensorflow:Step #236: rate 0.001000, accuracy 23.0%, cross entropy 2.194707
INFO:tensorflow:Step #237: rate 0.001000, accuracy 15.0%, cross entropy 2.345684
INFO:tensorflow:Step #238: rate 0.001000, accuracy 30.0%, cross entropy 2.258662
INFO:tensorflow:Step #239: rate 0.001000, accuracy 21.0%, cross entropy 2.311805
INFO:tensorflow:Step #240: rate 0.001000, accuracy 19.0%, cross entropy 2.354490
INFO:tensorflow:Step #241: rate 0.001000, accuracy 22.0%, cross entropy 2.290104
INFO:tensorflow:Step #242: rate 0.001000, accuracy 12.0%, cross entropy 2.316740
INFO:tensorflow:Step #243: rate 0.001000, accuracy 22.0%, cross entropy 2.224326
INFO:tensorflow:Step #244: rate 0.001000, accuracy 25.0%, cross entropy 2.336315
INFO:tensorflow:Step #245: rate 0.001000, accuracy 18.0%, cross entropy 2.301108
INFO:tensorflow:Step #246: rate 0.001000, accuracy 16.0%, cross entropy 2.349207
INFO:tensorflow:Step #247: rate 0.001000, accuracy 20.0%, cross entropy 2.270613
INFO:tensorflow:Step #248: rate 0.001000, accuracy 18.0%, cross entropy 2.307523
INFO:tensorflow:Step #249: rate 0.001000, accuracy 21.0%, cross entropy 2.246967
INFO:tensorflow:Step #250: rate 0.001000, accuracy 16.0%, cross entropy 2.313123
INFO:tensorflow:Step #251: rate 0.001000, accuracy 26.0%, cross entropy 2.236303
INFO:tensorflow:Step #252: rate 0.001000, accuracy 21.0%, cross entropy 2.306909
INFO:tensorflow:Step #253: rate 0.001000, accuracy 21.0%, cross entropy 2.256005
INFO:tensorflow:Step #254: rate 0.001000, accuracy 18.0%, cross entropy 2.318828
INFO:tensorflow:Step #255: rate 0.001000, accuracy 19.0%, cross entropy 2.315886
INFO:tensorflow:Step #256: rate 0.001000, accuracy 24.0%, cross entropy 2.264712
INFO:tensorflow:Step #257: rate 0.001000, accuracy 22.0%, cross entropy 2.279018
INFO:tensorflow:Step #258: rate 0.001000, accuracy 13.0%, cross entropy 2.412017
INFO:tensorflow:Step #259: rate 0.001000, accuracy 13.0%, cross entropy 2.371384
INFO:tensorflow:Step #260: rate 0.001000, accuracy 21.0%, cross entropy 2.284265
INFO:tensorflow:Step #261: rate 0.001000, accuracy 18.0%, cross entropy 2.259453
INFO:tensorflow:Step #262: rate 0.001000, accuracy 15.0%, cross entropy 2.315181
INFO:tensorflow:Step #263: rate 0.001000, accuracy 25.0%, cross entropy 2.328362
INFO:tensorflow:Step #264: rate 0.001000, accuracy 13.0%, cross entropy 2.421615
INFO:tensorflow:Step #265: rate 0.001000, accuracy 22.0%, cross entropy 2.322760
INFO:tensorflow:Step #266: rate 0.001000, accuracy 20.0%, cross entropy 2.299501
INFO:tensorflow:Step #267: rate 0.001000, accuracy 16.0%, cross entropy 2.331852
INFO:tensorflow:Step #268: rate 0.001000, accuracy 20.0%, cross entropy 2.317417
INFO:tensorflow:Step #269: rate 0.001000, accuracy 16.0%, cross entropy 2.333869
INFO:tensorflow:Step #270: rate 0.001000, accuracy 23.0%, cross entropy 2.317995
INFO:tensorflow:Step #271: rate 0.001000, accuracy 19.0%, cross entropy 2.285663
INFO:tensorflow:Step #272: rate 0.001000, accuracy 20.0%, cross entropy 2.341760
INFO:tensorflow:Step #273: rate 0.001000, accuracy 14.0%, cross entropy 2.356665
INFO:tensorflow:Step #274: rate 0.001000, accuracy 18.0%, cross entropy 2.282007
INFO:tensorflow:Step #275: rate 0.001000, accuracy 16.0%, cross entropy 2.302329
INFO:tensorflow:Step #276: rate 0.001000, accuracy 24.0%, cross entropy 2.312420
INFO:tensorflow:Step #277: rate 0.001000, accuracy 20.0%, cross entropy 2.303092
INFO:tensorflow:Step #278: rate 0.001000, accuracy 26.0%, cross entropy 2.181887
INFO:tensorflow:Step #279: rate 0.001000, accuracy 30.0%, cross entropy 2.255206
INFO:tensorflow:Step #280: rate 0.001000, accuracy 16.0%, cross entropy 2.349281
INFO:tensorflow:Step #281: rate 0.001000, accuracy 19.0%, cross entropy 2.321709
INFO:tensorflow:Step #282: rate 0.001000, accuracy 24.0%, cross entropy 2.295525
INFO:tensorflow:Step #283: rate 0.001000, accuracy 20.0%, cross entropy 2.313848
INFO:tensorflow:Step #284: rate 0.001000, accuracy 19.0%, cross entropy 2.374573
INFO:tensorflow:Step #285: rate 0.001000, accuracy 21.0%, cross entropy 2.251341
INFO:tensorflow:Step #286: rate 0.001000, accuracy 25.0%, cross entropy 2.272084
INFO:tensorflow:Step #287: rate 0.001000, accuracy 19.0%, cross entropy 2.274943
INFO:tensorflow:Step #288: rate 0.001000, accuracy 18.0%, cross entropy 2.339072
INFO:tensorflow:Step #289: rate 0.001000, accuracy 29.0%, cross entropy 2.249713
INFO:tensorflow:Step #290: rate 0.001000, accuracy 21.0%, cross entropy 2.295718
INFO:tensorflow:Step #291: rate 0.001000, accuracy 21.0%, cross entropy 2.244988
INFO:tensorflow:Step #292: rate 0.001000, accuracy 23.0%, cross entropy 2.286901
INFO:tensorflow:Step #293: rate 0.001000, accuracy 21.0%, cross entropy 2.300239
